Teks|Sentimen
Gk muluk muluk, 100,000 lot saham BBCA aja|Positif
BCA Expoversary 2024 menawarkan promo suku bunga spesial mulai dari 2,67% untuk KPR maupun KKB. [URL] [HASHTAG] [HASHTAG] [HASHTAG]|Netral
[USERNAME] saham bca nya menyusul ya 🙂|Positif
PT Bank BCA Syariah (BCA Syariah) turut memeriahkan BCA Expoversary 2024 dengan menawarkan beragam solusi pembiayaan syariah. [URL] [HASHTAG] [HASHTAG] [HASHTAG]|Netral
[USERNAME] Begitu byk saham kamu memilih saham itu kalau uangnya gede bisa nyicil big banks nder kalau koreksi lagi Big banks itu BBNI, BBRI, BBCA, BMRI|Positif
[USERNAME] Drpd bunga mending hal² yg berguna, yaaa minimal kek saham BCA satu slot, atau saham GG satu slot ehehehehhehe 😗|Positif
[USERNAME] [USERNAME] Pilihan RDN di Mirae Asset ada banyak ya mas. Tapi, untuk tarik dana bisa pake bank apa saja. Misalnya masnya pake rekening Blu ya mungkin nanti pas pembukaan akun bisa pake BCA untuk RDN.|Netral
[USERNAME] [USERNAME] pak buat sekuritas mirae apakah bisa pakai akun blu by bca?|Netral
[USERNAME] Bbca, soalnya stabil|Positif
Menggelar pameran masih menjadi salah satu strategi andalan perbankan untuk mendorong penyaluran kredit konsumer. Seperti yang dilakukan PT Bank Central Asia Tbk (BCA) dan PT Bank Mega Tbk yang awal tahun ini sudah… [URL] [HASHTAG] [HASHTAG] [HASHTAG]|Netral
[USERNAME] Jodoh dateng, duit 10M, sama saham (bca, bri, dll). Bismillah soon punya Aamiin|Positif
Indeks Bisnis-27 Melemah Tertekan Saham BBRI, BBCA, MAPI [URL]|Negatif
[USERNAME] Bbca tahun 2020 karna yakin wkwkkw|Positif
[USERNAME] 2020 pas pandemi. Bbri, dikasih modal papa suruh ambil bca. Tapi kok mahal banget😭|Negatif
[USERNAME] bbca, tapi dah dijual. bismillah taun ini kebeli lagi bbrp slot 😇|Positif
trs aku ngimpi, di mimpiku ada yg bilang 'minimal tuh punya 8lot saham bbca' APAAN DEH😭😭🤣🤣🤣🤣🤣|Positif
[USERNAME] [USERNAME] doakan suatu saat punya tu bbca|Positif
[USERNAME] Taruh di Mandiri 1 lot, BCA 1 lot udah habis tuh tidurrr buka lagi tahun depan|Positif
[USERNAME] [USERNAME] 10 juta aja mau beli 90% saham BCA 🗿|Positif
Pengen punya saham BBCA 100 lot aja ya Allah wkwkwk|Positif
komposisi investasi saya: - big 3 kripto (btc, eth, sol) - tech giant - saham as (aapl, msft, intc, nvda, adbe - saham bluechip bank indo (bca, bri, bni, mand) - obligasi (buat support negara/nasionalisme)|Netral
rups (Rapat umum pemegang saham) tahunan bank bri, bank bni, bank mandiri Dan bank bca. Bank bri tanggal RUPS 1 maret 2024. Bank bni tanggal RUPS 4 maret 2024. Bank mandiri tanggal RUPS 7 maret 2024. Bank bca tanggal RUPS 14 2024. Kayanya semua membahas proyeksi dividen interim. [URL]|Netral
[USERNAME] guys kalian beli bbca pake app apa?|Netral
[USERNAME] ( betul, dia kemaren abis beli saham BBCA 1000 lot )|Netral
shm! akhirnya BBCA tembus 10k. Semoga tidak ada stock split lagi ya [URL]|Positif
BMRI &gt cum date &gt 26 Mar (265) BBNI &gt cum date &gt 27 Mar (393) BBCA &gt cum date &gt 28 Mar (42) Simulasi bonus udah turun tabungan saham 80 jt BMRI 11500 x 265 = 3.047.500 BBNI 13500 x 393 = 5.305.500 BBCA 8000 x 42 = 336.000 Total = -+ 8.689.000|Netral
[USERNAME] [USERNAME] [USERNAME] [USERNAME] Apple ama Bca juga gaperna kalah bang berarti [URL]|Positif
[USERNAME] [USERNAME] BBCA bisa ambruk 90% dalam 1 malam bang?|Netral
[USERNAME] Saham IDX dan Crypto sama2 market yg tidak efisien.. contoh: Market Cap BREN pernah melewati BBCA, BBRI..Itu emiten asset nya brapa? Valuasi 1000T.. Ada saham gorengan ada juga shitcoin . So gw maen kedua nya. Cuma beda tujuan.Di saham gw saham volalitas rendah, high dividen|Netral
[USERNAME] gak mau gua mau hp baru ip 13 beserta saham bca|Positif
Trader siapa nih yang kita undang kali ini? 😌 yang bisa tebak bisa dapat Giveaway saldo RDN! 🥳 Referralkan Bluechip dapat saham [HASHTAG] 😱 kepoin 👇🏻 [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]|Netral
Harga Saham BCA Sempat Sentuh Rp10.000, Begini Jawaban Direksi Soal Rumor Stock Split [URL]|Netral
[USERNAME] [USERNAME] Goals tahun ini? Target punya 10 lot Saham BBCA Tapi apa daya gaji dibawah UMR, Di usahain mati²an dah Biar ada invest untuk masa Tua nanti|Positif
Rumah di Citraland, villa di Ubud, uang 8M, emas batang 100kg, saham BCA minimal 100 slot, saham Sinarmas minimal 100 slot, umroh sebulan sekali.|Positif
