Teks|Sentimen
Direktur Garuda Salman El Farisiy Meninggal, Ini Sosoknya!|Negatif
Catatan Sejarah 2023, Indonesia Luncurkan Bursa Karbon|Netral
Ramalan Bitcoin Paling Gila 2024, Naik 1.000% Jadi US$500.000|Netral
Wah! Segini Harta Mantan Istri Prabowo Titiek Soeharto|Netral
Pensiun di Oktober 2024, Jokowi Kantongi Uang Pensiun Segini!|Netral
Gas! 8 Emiten Baru Bakal Melantai di Bursa 2024, Siapa Saja?|Positif
Wall Street Mengawali Tahun 2024 Dengan Tak Sumringah|Negatif
Jika Jiwasraya Dibubarkan, Aset Saham Bakal Dijual?|Negatif
Pernikahan Viral, Segini Harta Budisatrio Keponakan Prabowo|Netral
Satgas Pasti OJK Blokir 6.680 Pinjol Ilegal dan Pinpri|Negatif
PTBA Gandeng KAI, Mau Angkut 20 Juta Ton Batu Bara|Positif
Kapan Kripto Diawasi OJK? Ini Bocorannya|Netral
Dapat Restu RKAB, Produksi Batu Bara BUMI Bisa Capai Segini|Netral
Waktu Habis, Emiten Tak Penuhi Free Float 7,5% Dibuka Bursa|Negatif
Perdagangan Perdana 2024, IHSG Cetak Rekor Baru di 7.323,59|Positif
Wall Street Ambruk Lagi Jelang The Fed Minutes|Negatif
Rukun Raharja (RAJA) Bangun Stasiun Induk CNG Baru di Jateng|Positif
Menguak Motif Budi Said Beli Emas Antam Hingga Rp3,5 T|Netral
Konglomerat Ini Pernah Bikin Presiden Soeharto Heran|Netral
BEI Bakal Tunjuk Sekuritas yang Bisa Jadi Market Maker|Netral
BTN Targetkan Laba Naik 14% di 2024|Positif
IHSG Berakhir Loyo, Saham-Saham Big Cap Ini Biang Keroknya|Negatif
Tahun Ini PPRO Bakal Divestasi Aset Total Rp 356 Miliar|Positif
Pasar Bersiap Tunggu Data dari AS, Rupiah Melemah Tipis|Negatif
Orang Nganggur di AS Turun, Wall Street Terjun Bebas|Negatif
Garuda (GIAA) Lunasi Sebagian Utang Obligasi, Tinggal Sisa Segini|Positif
Pengumuman! OJK Cabut Izin BPR Wijaya Kusuma, Nasabah Cek Ini|Negatif
Bisnis Bareng Salim, Soeharto Nyaris Dipecat dari TNI|Netral
Saham BNI Tembus Rp 5.600, Cetak Rekor Baru Sepanjang Masa!|Positif
Kejagung Lelang Tas Hermes Istri Bentjok, Birkin Cuma Rp 61 Juta|Netral
Saham Bank Mandiri Melonjak 4% Lebih & Cetak Rekor Baru|Positif
IHSG Cetak Rekor Baru Lagi! Ditutup Melesat 1,11%|Positif
Daftar Terbaru Investor IKN, Ada Grup Djarum, Astra, hingga Alfamart|Netral
Libur Nataru, Transaksi Kartu Kredit Bank Mega Syariah Naik 50%|Positif
Bahas Ini, Erick Thohir Rapat Bareng MenPANRB dan Menkominfo|Netral
Sukanto Tanoto Beli Hotel Mewah di China, Gelontorkan Rp 3,7 T|Netral
Dolar Makin Perkasa, Rupiah Melemah 3 Hari Beruntun|Negatif
DBS Indonesia Angkat Eks Bos OJK Jadi Komisaris Independen|Netral
Investasi Primadona, Harga Emas dari Tahun ke Tahun Sejak 1970|Netral
BTN Kirim Surat Minat Masuk Muamalat, Pemegang Saham Buka Suara|Netral
Cetak Rekor ATH Baru! IHSG Melesat Nyaris 1% Tembus 7.348,52|Positif
Komentarnya Jadi Sorotan, Segini Harta Senator Arya Wedakarna|Netral
Catat, inI 7 Faktor yang Mempengaruhi Harga Kripto|Netral
Panasnya Data Pekerja AS, Bikin Wall Street Makin Ambles|Negatif
Kabar Hengkang dari Proyek IKN, Wings & Djarum Grup Buka Suara|Netral
Duit Miliaran Raib, Satu Petinggi Bank Victoria Syariah Tersangka!|Negatif
IHSG Gagal Happy Weekend Setelah Cetak Rekor Baru|Negatif
BEI Tunjuk Sekuritas Jadi Market Maker, Selama Ini Bagaimana?|Netral
Sah! PTPP Energi Divestasi Saham Inpola Meka Energi|Positif
Data AS Bikin Deg-degan, Dolar Naik ke Rp 15.500-an|Negatif
Punya Harta Rp 173 T, Ini Sosok Taipan Paling Misterius di Dunia|Netral
Soekarno Sampai Jokowi, Siapa Presiden RI Terkaya Vs Termiskin?|Netral
Naik, Cek Daftar Terbaru Biaya Administrasi & Limit Transaksi Bank BCA|Netral
Aturan Pinjol Terbaru, Berlaku Mulai Tahun Ini|Netral
Mesin Uang Orang Terkaya Israel Ternyata Disukai Warga RI|Netral
8 SBN Ritel akan Terbit Tahun 2024, Intip Jadwalnya!|Netral
Awal 2024, Bank Bangkrut di RI Tambah Satu|Negatif
DI IKN Grup Wings dan Djarum Bukan Investasi Komersial|Netral
Jadi Sorotan Publik, Ternyata Ini Raja Debt Collector RI|Netral
Pasok Pasar Domestik, Target Produksi Inalum Tahun Ini 274.140 Ton|Positif
Tahun Ini Lengser, Ternyata Segini Uang Pensiun Jokowi|Netral
Kejanggalan & Pemufakatan Jahat Pembelian Emas Antam Rp3,5 T Budi Said|Negatif
Disebut Gibran-Mahfud, Ini Daftar Terbaru Investor IKN Pimpinan Aguan|Netral
OJK Ungkap 6 Multifinance RI Mati di 2023, 8 Lainnya Menghitung Hari|Negatif
Wall Street Dibuka Sedikit Cerah, Bakal Bertahan Lama?|Positif
Marak Penipuan di WA, Mahfud MD Minta OJK Lakukan Ini|Negatif
4 Emiten Gelar Rights Issue di Awal Tahun, Ini Daftarnya|Positif
Perang Lawan Saham Gorengan, Prabowo - Gibran Mau Bikin Ini|Netral
Punya Predikat Perusahaan Terbesar RI, Begini Prospek BBRI|Netral
Heboh Hotman Paris Protes Pajak Hiburan 40%, Ini Jawab DJP!|Netral
Banyak Saham IPO Terjun Bebas, Tim Ganjar-Mahfud Bilang Gini|Negatif
Cabang BSI Mulai Buka Layanan Weekend Banking|Netral
IHSG Berbalik Lesu, 8 Saham Big Cap Ini Biang Keroknya|Negatif
Anies-Cak Imin Mau Jagokan Teknologi Buat Dorong Markep Cap Bursa|Positif
Cadev Indonesia Tertinggi 2 Tahun Terakhir, Rupiah Tetap Turun|Negatif
Pabrik Air minum Pertama IKN Beroperasi, Milik Crazy Rich Surabaya|Positif
Unjuk Rasa di PN Jakpus, Aliansi Korban Wanaartha Protes Ini|Negatif
14 BUMN Pasien PPA Dikaji 9 Bulan, Bakal Ada yang Tutup Lagi ?|Negatif
14 BUMN 'Sakit' Udah 9 Bulan Dipelototin PPA, Ini Daftarnya|Negatif
Heboh Wings dan Djarum Group Hengkang dari IKN, Siapa Pemiliknya?|Netral
Kupas Strategi J Trust Bank dalam Menjaga Pertumbuhan di 2024|Netral
Baru IPO, Emiten Gas Ini Udah Patok Jualan Naik 4 Kali Lipat|Positif
Deretan Sektor Saham yang Bawa Cuan di Tahun Politik|Netral
Wall Street Galau Parah, Hari Ini Dibuka Merana Lagi|Negatif
