ID|Teks_Gabungan|Label_Sentimen|Tanggal|Link
1|CBRE ARA, Pasar Mulai Lirik Right Issue Jumbo Rp1,91 Triliun. EmitenNews.com - Saham Cakra Buana Resources Energi (CBRE) kembali menjadi perhatian pasar. Itu setelah pada perdagangan Jumat,...||1 menit yang lalu|https://www.emitennews.com/news/cbre-ara-pasar-mulai-lirik-right-issue-jumbo-rp191-triliun
2|EMTK Jadwal Dividen 4,5 Persen dari Laba, Yield 0,75 Persen. EmitenNews.com - Elang Mahkota alias Emtek (EMTK) akan menabur dividen Rp305,91 miliar. Alokasi dividen itu, diambil sekitar...||31 menit yang lalu|https://www.emitennews.com/news/emtk-jadwal-dividen-45-persen-dari-laba-yield-075-persen
3|Urbanova, Langkah Strategis KOTA Membangun Edu Hub di Indonesia. EmitenNews.com -PT DMS Propertindo Tbk (KOTA) terus mempertegas transformasi bisnis Perseroan melalui pengembangan kawasan terpadu...||7 jam yang lalu|https://www.emitennews.com/news/urbanova-langkah-strategis-kota-membangun-edu-hub-di-indonesia
4|Ekuitas Negatif Jadi Positif, Inilah Teknik GMFI Reparasi Kinerja. EmitenNews.com -PT Garuda Maintenance Facility Aero Asia Tbk (GMFI), bagian dari Garuda Indonesia Group, sukses menggelar Rapat Umum...||13 jam yang lalu|https://www.emitennews.com/news/ekuitas-negatif-jadi-positif-inilah-teknik-gmfi-reparasi-kinerja
5|Pacu Inovasi Material Hijau, SMGR Perkuat Kolaborasi dengan BRIN. EmitenNews.com - PT Semen Indonesia (Persero) Tbk (SMGR) memperkuat kolaborasi dengan Badan Riset dan Inovasi Nasional (BRIN)....||16 jam yang lalu|https://www.emitennews.com/news/pacu-inovasi-material-hijau-smgr-perkuat-kolaborasi-dengan-brin
6|Indocement (INTP) Setujui Dividen Rp1,54 Triliun, Ingat Jadwalnya. EmitenNews.com - Rapat Umum Pemegang Saham Tahunan (RUPST) PT Indocement Tunggal Prakarsa Tbk. (INTP) Tahun 2026 menyetujui pembagian...||19 jam yang lalu|https://www.emitennews.com/news/indocement-intp-setujui-dividen-rp154-triliun-ingat-jadwalnya
7|AADI Tebar Dividen Final Rp453 per Saham, Yield Tembus 5,5 Persen. EmitenNews.com - PT Adaro Andalan Indonesia Tbk. (AADI) sepakat akan membagikan dividen final USD0,026 per saham atau setara...||20 jam yang lalu|https://www.emitennews.com/news/aadi-tebar-dividen-final-rp453-per-saham-yield-tembus-55-persen
8|Top Line Melesat, Sentral Mitra (LUCK) Catat Kinerja Impresif Q1-2026. EmitenNews.com - Emiten penyedia solusi teknologi informasi, PT Sentral Mitra Informatika Tbk (LUCK), membukukan capaian kinerja...||20 jam yang lalu|https://www.emitennews.com/news/top-line-melesat-sentral-mitra-luck-catat-kinerja-impresif-q1-2026
9|ASRM Tabur Dividen Tunai Segini, Recording Date 4 Juni. EmitenNews.com - PT Asuransi Ramayana Tbk (ASRM) memastikan para pemegang sahamnya memperoleh dividen tunai sebesar 17,17% dari...||21 jam yang lalu|https://www.emitennews.com/news/asrm-tabur-dividen-tunai-segini-recording-date-4-juni
10|Kinerja TUGU Kuartal I 2026 On Track, Begini Prospek ke Depan. EmitenNews.com - Kinerja Asuransi Tugu Pratama Indonesia (TUGU) tetap solid sepanjang kuartal I 2026 di tengah gejolak ekonomi,...||21 jam yang lalu|https://www.emitennews.com/news/kinerja-tugu-kuartal-i-2026-on-track-begini-prospek-ke-depan
11|WEGE Lolos dari Jerat PKPU, Operasional Dipastikan Aman. EmitenNews.com - PT Wijaya Karya Bangunan Gedung Tbk (WEGE) akhirnya terbebas dari ancaman Penundaan Kewajiban Pembayaran Utang...||22 jam yang lalu|https://www.emitennews.com/news/wege-lolos-dari-jerat-pkpu-operasional-dipastikan-aman
12|JTPE Bidik Pendapatan 2026 Rp3 Triliun, Laba Dipatok Tumbuh Dua Digit. EmitenNews.com - PT Jasuindo Tiga Perkasa Tbk (JTPE) membidik pertumbuhan pendapatan dan laba bersih dua digit pada 2026 di tengah...||23 jam yang lalu|https://www.emitennews.com/news/jtpe-bidik-pendapatan-2026-rp3-triliun-laba-dipatok-tumbuh-dua-digit
13|Siarkan Piala Dunia 2026, IRSX Gandeng Huawei Cloud Untuk FolaPlay. EmitenNews.com -PT Folago Global Nusantara Tbk (IDX: IRSX), baru saja mengumumkan kerjasama strategis melalui FolaPlay dengan TVRI...||23 jam yang lalu|https://www.emitennews.com/news/siarkan-piala-dunia-2026-irsx-gandeng-huawei-cloud-untuk-folaplay
14|Emiten Sawit (PSGO) Umumkan Bagi Dividen Rp113M, Setara Rp6 per Saham. EmitenNews.com - PT Palma Serasih Tbk. (PSGO) menetapkan sebaran nominal dividen tunai tertakar Rp113,1 miliar atau Rp6 per saham...||23 jam yang lalu|https://www.emitennews.com/news/emiten-sawit-psgo-umumkan-bagi-dividen-rp113m-setara-rp6-per-saham
15|Aksi Borong Saham Sendiri Komisaris ULTJ, 3 Juta Saham Dikarungkan!. EmitenNews.com - Anggota Dewan Komisaris PT Ultrajaya Milk Industry &amp; Trading Company Tbk (ULTJ), Suhendra Prawirawidjaja...||1 hari yang lalu|https://www.emitennews.com/news/aksi-borong-saham-sendiri-komisaris-ultj-3-juta-saham-dikarungkan
16|Ecocare (HYGN) Sebar Dividen Rp7,5 Miliar Setara Rp3 per Lembar. EmitenNews.com - PT Ecocare Indo Pasifik Tbk. (HYGN) resmi mengumumkan pembagian dividen tunai tahun buku 2025 senilai Rp7.493.460.900...||1 hari yang lalu|https://www.emitennews.com/news/ecocare-hygn-sebar-dividen-rp75-miliar-setara-rp3-per-lembar
17|PTPS Tebar Dividen Final Rp9,75 Miliar, Sekitar Rp11 per Saham. EmitenNews.com - PT Pulau Subur Tbk. (PTPS) akan membagikan dividen tunai final tahun buku 2025 sebesar Rp9,75 miliar atau Rp4,5...||1 hari yang lalu|https://www.emitennews.com/news/ptps-tebar-dividen-final-rp975-miliar-sekitar-rp11-per-saham
18|SCMA Bagikan Dividen Tunai, Intip Nominalnya. EmitenNews.com - Surya Citra Media (SCMA) memastikan pembagian dividen tunai tahun buku 2025 sebesar Rp12 per saham kepada para...||1 hari yang lalu|https://www.emitennews.com/news/scma-bagikan-dividen-tunai-intip-nominalnya
19|Semen Indonesia (SMGR) Tutup Sejumlah Entitas, Demi Efisiensi?. EmitenNews.com - PT Semen Indonesia Tbk (SMGR) melakukan perampingan struktur bisnis dengan membubarkan dan melikuidasi...||1 hari yang lalu|https://www.emitennews.com/news/semen-indonesia-smgr-tutup-sejumlah-entitas-demi-efisiensi
20|KREN Umumkan Rencana Buyback Saham, Restu Ada di RUPSLB. EmitenNews.com - PT Quantum Clovera Investama Tbk (KREN) mengumumkan rencana buyback saham perseroan sebanyak-banyaknya 10% dari...||1 hari yang lalu|https://www.emitennews.com/news/kren-umumkan-rencana-buyback-saham-restu-ada-di-rupslb
21|GOTO Siap Adaptasi Dampak Perpres Prabowo dengan Empat Langkah. EmitenNews.com - PT GoTo Gojek Tokopedia Tbk (GOTO) yang membawahi Gojek, berkomitmen mendukung arahan Presiden Prabowo Subianto...||1 hari yang lalu|https://www.emitennews.com/news/goto-siap-adaptasi-dampak-perpres-prabowo-dengan-empat-langkah
22|Elnusa Perkuat Bisnis Energi Terintegrasi Lewat Inovasi Teknologi. EmitenNews.com - PT Elnusa Tbk (ELSA) terus memperkuat transformasi bisnis sebagai perusahaan jasa energi terintegrasi melalui...||1 hari yang lalu|https://www.emitennews.com/news/elnusa-perkuat-bisnis-energi-terintegrasi-lewat-inovasi-teknologi
23|Usai 9 Hari Disuspensi, Saham CTTH Dibuka BEI Langsung ARB 9,9 Persen. EmitenNews.com - Bursa Efek Indonesia (BEI) membuka kembali perdagangan saham PT Citatah Tbk. (CTTH) emiten penyedia barang perindustrian...||1 hari yang lalu|https://www.emitennews.com/news/usai-9-hari-disuspensi-saham-ctth-dibuka-bei-langsung-arb-99-persen
