ID|Teks_Gabungan|Label_Sentimen|Tanggal|Link
1|JAKARTA - PT Astrindo Nusantara Infrastruktur Tbk (BIPI) berencana melakukan divestasi seluruh saham anak usahanya, PT Sintesa Bara Gemilang Tbk (SBG), sebagai bagian dari transformasi portofolio dan strategi pertumbuhan jangka panjang. Perseroan akan melepas 99,90% saham SBG kepada PT Indo Panca Borneo (IPB), pihak nonafiliasi, dengan nilai transaksi mencapai Rp1,79 triliun. Manajemen BIPI menyampaikan bahwa kesepakatan telah dituangkan dalam Perjanjian Jual Beli Saham Bersyarat yang ditandatangani pada 21 Mei 2026. “Perseroan meyakini bahwa pelaksanaan rencana transaksi akan memberikan dampak positif terhadap keuangan perseroan dan mendukung pengembangan usaha perseroan ke depan,” kata manajemen BIPI dalam keterbukaan informasi, Sabtu (23/5). Sebagai informasi, SBG merupakan anak usaha di sektor investasi batu bara yang sebelumnya mengakuisisi PT Mining Ltd Hongkong pada 2023, yang memiliki tiga konsesi tambang di Kalimantan, yakni Jembayan dan Penajam di Kalimantan Timur serta Sebuku di Kalimantan Selatan. Akuisisi tersebut dibiayai dengan pinjaman senilai US$432,8 juta atau sekitar Rp6,5 triliun. Hingga akhir 2025, SBG mencatat aset sebesar US$626,3 juta atau setara 39% dari total aset BIPI, serta menyumbang pendapatan usaha sebesar US$197,9 juta atau 84,19% dari total pendapatan perseroan. Karena kontribusi tersebut, transaksi ini tergolong material sesuai POJK 17/2020. Perseroan juga akan meminta persetujuan pemegang saham melalui RUPSLB pada 30 Juni 2026. Dengan divestasi ini, BIPI tidak hanya memperoleh dana segar untuk ekspansi, tetapi juga melepas posisi sebagai corporate guarantor atas utang SBG yang mencapai sekitar Rp4 triliun. (DK)||25 May 2026 11:40|https://www.idnfinancials.com/id/news/64106/bipi-lepas-aset-tambang-sintesa-bara-gemilang-senilai-rp1-79-triliun
2|JAKARTA - PT Sarana Menara Nusantara Tbk (TOWR) memperkuat akses pendanaan melalui anak usahanya, PT Profesional Telekomunikasi Indonesia (Protelindo) dan PT Iforte Solusi Infotek (Iforte). Kedua entitas tersebut memperoleh fasilitas pinjaman bergulir ( uncommitted revolving loan ) senilai Rp1 triliun dari PT Bank DBS Indonesia. Perjanjian kredit ditandatangani pada 22 Mei 2026. Dalam keterbukaan informasi yang disampaikan kepada Otoritas Jasa Keuangan (OJK), fasilitas pinjaman ini memiliki tenor 12 bulan sejak tanggal penandatanganan perjanjian. Corporate Secretary TOWR, Monalisa Irawan, menyatakan dana tersebut akan digunakan untuk kebutuhan korporasi umum Protelindo dan Iforte, termasuk untuk refinancing atau pembiayaan kembali utang yang telah ada sebelumnya. “Tujuan pinjaman untuk kebutuhan korporasi umum Protelindo dan Iforte, termasuk pembiayaan kembali utang-utang,” tulis Monalisa dalam keterbukaan informasi, Sabtu (23/5). Dalam transaksi ini, Protelindo dan Iforte memiliki tanggung jawab secara tanggung renteng atas seluruh kewajiban yang timbul dari fasilitas kredit tersebut. Monalisa menegaskan bahwa perjanjian pinjaman ini tidak memberikan dampak material terhadap operasional, kondisi keuangan, maupun kelangsungan usaha perseroan. Selain itu, transaksi tersebut dikategorikan sebagai transaksi afiliasi sesuai POJK 42/2020 karena melibatkan perusahaan terkendali dengan kepemilikan lebih dari 99 persen oleh emiten. Ia juga menegaskan bahwa fasilitas kredit ini bukan transaksi benturan kepentingan maupun transaksi material sesuai regulasi pasar modal. (DK)||25 May 2026 11:20|https://www.idnfinancials.com/id/news/64105/dbs-salurkan-kredit-rp1-triliun-ke-anak-usaha-towr
3|"JAKARTA – PT Kawasan Industri Kendal (KIK), entitas anak PT Kawasan Industri Jababeka Tbk (KIJA) , menandatangani perjanjian fasilitas pinjaman term loan dengan PT Bank Rakyat Indonesia (Persero) Tbk (BBRI) pada 21 Mei 2026. Berdasarkan siaran pers Perseroan, Sabtu (23/5), fasilitas ini akan digunakan untuk mendukung pengembangan lanjutan Kendal Industrial Park. Fasilitas pembiayaan tersebut berupa non-revolving term loan dengan nilai maksimum Rp1,2 triliun, berjangka waktu 10 tahun, serta availability period hingga 24 bulan. Dana dari pinjaman ini akan difokuskan untuk kebutuhan korporasi umum terkait pengembangan kawasan, termasuk pembelian dan pengembangan lahan serta pembangunan infrastruktur penunjang industri di Kendal Industrial Park. Dalam perjanjian tersebut, KIK juga memberikan jaminan berupa aset tanah tertentu, aset tetap, serta piutang yang terkait dengan pengembangan kawasan industri tersebut. Kerja sama ini disebut mencerminkan dukungan berkelanjutan dari sektor perbankan nasional terhadap prospek pertumbuhan jangka panjang Kendal Industrial Park sebagai salah satu kawasan industri terintegrasi di Indonesia. Wakil Direktur Utama KIJA, Budianto Liman, mengatakan fasilitas ini akan memperkuat fleksibilitas keuangan perusahaan. “Fasilitas ini menyediakan pendanaan jangka panjang untuk melengkapi posisi kas KIK yang kuat serta semakin meningkatkan fleksibilitas keuangan secara keseluruhan, sekaligus mendukung percepatan pengembangan Kendal Industrial Park dan ekspansi ekosistem kawasan industrinya,"" ujarnya, dalam siaran pers tersebut. Ia menambahkan bahwa transaksi ini juga mendukung diversifikasi sumber pendanaan KIK secara berkelanjutan dengan tetap menjaga pengelolaan likuiditas yang prudent dan disiplin alokasi modal. Melalui transaksi ini, menurut Budianto KIJA menilai KIK berada dalam posisi kuat untuk mempercepat ekspansi, memperkuat pipeline pengembangan, serta mendukung pertumbuhan jangka panjang yang berkelanjutan dalam ekosistem Grup Jababeka. (DK)"||25 May 2026 11:00|https://www.idnfinancials.com/id/news/64103/anak-usaha-kija-dapat-pinjaman-hingga-rp1-2-triliun
4|JAKARTA – PT Bank SMBC Indonesia Tbk Tbk (BTPN) menjual portofolio pinjaman pensiunan dan pra-pensiunan kepada PT Bank Tabungan Negara (Persero) Tbk (BBTN) melalui transaksi bernilai Rp19,93 triliun. Antara BTPN dan BBTN telah menandatangani Conditional Portfolio Transfer Agreement (CPTA), serta Conditional Loan Asset Transfer Agreement (CLATA) pada 22 Mei 2026. Sesuai dalam perjanjian tersebut, transaksi mencakup pengalihan portofolio kredit terkait pensiunan dan prapensiunan, yang manfaat pensiunnya dikelola TASPEN, ASABRI, dana pensiun lainnya, hingga pinjaman karyawan aktif. “Total Nilai Transaksi CPTA dan Transaksi CLATA adalah sebesar Rp19,92 triliun atau setara dengan 46,3% nilai ekuitas perseroan per 31 Desember 2025,” ungkap Sekretaris Perusahaan BTPN, Eneng Yulie Andriani pada Senin (25/5). Dalam keterangan yang disampaikan kepada Bursa Efek Indonesia (BEI), Eneng menambahkan bahwa kedua perjanjian itu adalah rangkaian transaksi yang akan dijalankan, dengan syarat pendahuluan yang wajib dipenuhi masing-masing pihak. Ia juga menegaskan bahwa kesepakatan ini tidak masuk dalam kategori transaksi afiliasi. Kantor Jasa Penilai Publik (KJPP) yang ditunjuk dalam transaksi ini, memberi penilaian wajar atas penjualan portofolio kredit BTPN. Meskipun bersifat material, BTPN menegaskan transaksi ini tidak memerlukan persetujuan dari pemegang saham, karena merujuk pada Peraturan Otoritas Jasa Keuangan (POJK) 17/2020. Pada awal perdagangan Senin, harga saham BTPN dan BBTN dibuka menguat setelah mengumumkan transaksi tersebut. Harga saham BTPN naik 1,26% ke Rp2.410 dan BBTN naik 2,72% ke Rp1.320 per lembar, hingga pukul 10.30 WIB. (KR)||25 May 2026 10:50|https://www.idnfinancials.com/id/news/64113/smbc-indonesia-jual-portofolio-kredit-rp19-9-triliun-ke-bbtn
5|ALASKA - Ketika John Kurz meninggalkan North Slope Alaska pada 2009, ia melihat masa depan suram bagi salah satu ladang minyak terbesar di Amerika Serikat yang dulu menjadi andalan produksi nasional. Seperti dikutip Bloomberg , produksi minyak mentah saat itu telah anjlok menjadi sekitar 567.000 barel per hari, jauh di bawah puncaknya yang mencapai hampir 2 juta barel per hari dua dekade sebelumnya. Penurunan ini memicu kekhawatiran bahwa Trans Alaska Pipeline System (TAPS), yang dibangun untuk mengalirkan minyak ke daratan utama AS, bisa berhenti beroperasi. Para insinyur bahkan sempat khawatir minyak yang mengalir lambat akan mengeras di dalam pipa, membentuk endapan lilin yang dapat membuat TAPS seperti “tabung lip balm raksasa”. Kurz, yang saat itu menjabat manajer operasi senior di BP Plc untuk wilayah Greater Prudhoe Bay, menyebut industri kala itu berada di ambang kematian dan melihat akhir dari TAPS semakin dekat. Ia kemudian meninggalkan Alaska pada 2009 untuk mencari peluang lain di luar negeri, tetapi kembali pada 2023 untuk menjadi Presiden dan CEO Alyeska Pipeline Service Co., perusahaan yang mengelola pipa tersebut. Kembalinya Kurz mencerminkan kebangkitan kembali industri minyak di Alaska, yang kini kembali menarik minat dan investasi besar berkat temuan cadangan baru serta kebijakan yang lebih longgar dari pemerintah AS di bawah Presiden Donald Trump. Pemerintahan Trump mendorong percepatan produksi minyak di Alaska sebagai bagian dari strategi dominasi energi. Tak lama setelah dilantik, Trump menandatangani perintah untuk membuka lebih banyak wilayah Alaska bagi eksplorasi minyak, gas, dan mineral. Departemen Dalam Negeri AS juga mencabut sejumlah pembatasan era Biden yang sebelumnya melarang pengeboran di sebagian besar National Petroleum Reserve-Alaska (NPRA), serta menyusun kebijakan untuk mempercepat perizinan proyek energi. Kebijakan ini memicu perdebatan panjang dengan kelompok lingkungan yang menolak ekspansi industri minyak di kawasan Arktik seluas sekitar 23 juta acre, dengan alasan memperburuk perubahan iklim dan mengancam ekosistem yang masih alami. Namun, sebagian pelaku industri menyebut situasi ini sebagai “demam emas” baru di Alaska, seiring meningkatnya keyakinan bahwa potensi minyak di wilayah tersebut jauh lebih besar dari perkiraan sebelumnya. Perusahaan-perusahaan besar seperti ConocoPhillips, ExxonMobil, dan Shell mulai kembali aktif di Alaska setelah sebelumnya mengurangi atau menghentikan operasional. Lelang hak eksplorasi di NPRA pada Maret mencatat rekor penawaran hampir US$164 juta, menandai kembalinya minat besar terhadap kawasan tersebut. Beberapa proyek besar seperti Pikka dan Willow juga mulai menunjukkan hasil produksi dan potensi jangka panjang yang signifikan. Meski demikian, pengembangan minyak di Arktik tetap menghadapi tantangan berat, mulai dari kondisi ekstrem, logistik rumit, hingga jendela kerja yang terbatas di musim dingin. Namun, cadangan yang besar dan umur produksi yang panjang membuat wilayah ini tetap dianggap sangat menarik oleh industri energi global. (DK)||25 May 2026 10:40|https://www.idnfinancials.com/id/news/64100/kisah-john-kurz-kembangkan-ladang-minyak-di-alaska
6|JAKARTA – FTSE Russel mengumumkan daftar saham asal Indonesia yang keluar dari perhitungan indeks global dalam rangkaian rebalancing Juni 2026. “Hasil tinjauan kuartalan ini akan berlaku efektif pada Senin, 22 Juni 2026,” ungkap FTSE, dalam keterangan yang disampaikan pada Sabtu (22/5). Empat saham asal Indonesia yang keluar dari indeks FTSE Russel adalah PT Dian Swastatika Sentosa Tbk (DSSA) , PT Daaz Bara Lestari Tbk (DAAZ) , PT Hillcon Tbk (HILL) , dan PT Mulia Industrindo Tbk (MLIA) . Menurut data yang dihimpun IDNFinancials.com, DSSA sebelumnya masuk dalam penghitungan FTSE Global Large Cap. Sedangkan DAAZ, HILL, dan MLIA masuk dalam indeks FTSE Global Micro Cap. Adapun alasan FTSE menghapus empat saham tersebut dari indeks mereka adalah sebagai berikut: Secara khusus, FTSE menyatakan saham DSSA akan dihapus pada “harga nol” akibat tingginya konsentrasi kepemilikan saham. Berdasarkan pengumuman pada 9 Mei 2026 lalu, mekanisme ini disebut memungkinkan pengelola indeks untuk melepas saham terkait tanpa mengandalkan harga pasar dan mekanisme yang memadai. Meskipun demikian, FTSE menegaskan bahwa pengumuman ini belum bersifat final dan terbuka atas adanya perubahan hingga 5 Juni 2026. “Efektif mulai 8 Juni 2026, hasil review ini akan bersifat final,” jelas FTSE. (KR)||25 May 2026 10:30|https://www.idnfinancials.com/id/news/64111/ftse-keluarkan-4-saham-asal-indonesia-apa-alasannya
7|KUALA LUMPUR - Sebelum Perang Iran, pasar minyak dan gas dunia dibangun di atas sebuah ilusi berbahaya: bahwa Selat Hormuz akan selalu terbuka, stabil, dan dapat diandalkan untuk perdagangan. Seluruh arsitektur keamanan energi Asia, mulai dari arus LNG, impor minyak mentah, hingga perdagangan produk olahan, dibentuk berdasarkan asumsi tersebut. Seperti dikutip OILPRICE , kini, asumsi itu mulai runtuh secara nyata. Tekanan gabungan dari ancaman Iran di Selat Hormuz, ketidakamanan yang terus berlanjut di Laut Merah, fragmentasi dalam OPEC+, meningkatnya biaya asuransi pelayaran, serta militerisasi jalur laut telah memaksa pemerintah, pedagang, pemilik kapal, dan investor energi menghadapi kenyataan baru yang keras. Ini bukan lagi gangguan geopolitik sementara, melainkan pergeseran menuju era ketidakamanan maritim yang struktural. Perubahan ini mengubah segalanya: ekonomi pengiriman, ekonomi penyimpanan, dan nilai posisi geografis. Yang paling penting, hal ini mengubah pelabuhan, pusat perdagangan, dan koridor logistik mana yang akan menjadi strategis di masa depan sistem energi global. Dalam lanskap yang cepat berubah ini, proyek Maharani Freeport di Malaysia disebut berpotensi menjadi opsi baru dalam rantai energi global. Berlokasi di pesisir barat daya Malaysia, proyek ini akan memanfaatkan kedekatan dengan salah satu jalur energi terpenting dunia. Fasilitas ini dirancang untuk penyimpanan lepas pantai dan transfer kapal-ke-kapal, dengan akses ke jalur pelayaran yang relatif lebih stabil dibanding wilayah lain yang lebih bergejolak. Pasar minyak tradisional dibangun di atas arus yang lancar tanpa gangguan. Energi bergerak dari kawasan produksi menuju pusat konsumsi melalui titik-titik sempit (chokepoints). Penyimpanan hanya dianggap sebagai infrastruktur tambahan. Namun, logika ini tidak lagi berlaku ketika gangguan pelayaran, risiko sanksi, konflik militer, dan volatilitas biaya pengiriman menjadi faktor utama. Sistem energi kini bergeser dari model “optimasi arus” ke model “ketahanan strategis”. Dalam kerangka ini, penyimpanan menjadi strategi, transfer kapal-ke-kapal menjadi fleksibilitas geopolitik, dan lokasi transshipment yang aman menjadi aset penting. Di sinilah Maharani Freeport dinilai bisa memiliki relevansi tinggi. Posisi maritim Malaysia dapat menjadikannya respons terhadap meningkatnya risiko geopolitik sekaligus memperkuat peran negara tersebut dalam arsitektur keamanan energi Asia. Sistem energi Asia sendiri masih sangat terkonsentrasi, namun semakin tertekan. Singapura tetap menjadi pusat perdagangan minyak utama, tetapi menghadapi keterbatasan lahan, biaya tinggi, regulasi lingkungan, dan kepadatan infrastruktur. Akibatnya, kebutuhan akan kapasitas pelengkap di kawasan semakin meningkat. Hal ini bukan menggantikan Singapura, melainkan memperluas jaringan ketahanan energi Asia. Maharani Freeport dipandang dapat mengambil peran sebagai hub khusus untuk penyimpanan, transfer, dan fleksibilitas logistik energi, tanpa harus meniru seluruh ekosistem perdagangan Singapura. Ketidakstabilan di Selat Hormuz dan Laut Merah semakin memperkuat urgensi ini. Setiap eskalasi konflik meningkatkan biaya asuransi, mengubah rute pelayaran, dan mengganggu arus energi global. Akibatnya, keamanan jalur maritim kini menjadi faktor harga utama dalam pasar energi. Bagi Asia, ini menciptakan dilema strategis: wilayah ini adalah pusat pertumbuhan permintaan energi dunia, tetapi sangat bergantung pada jalur laut yang rentan. Karena itu, diversifikasi infrastruktur logistik dan peningkatan kapasitas penyimpanan menjadi kebutuhan mendesak. Dalam konteks ini, infrastruktur seperti Maharani Freeport dapat menjadi bagian dari jaringan ketahanan energi baru Asia—sebuah sistem yang menekankan fleksibilitas, penyimpanan strategis, dan kemampuan pengalihan distribusi. Tren global juga mendukung arah ini. Pasar LNG dan minyak kini bergerak menuju sistem yang lebih fleksibel, di mana kargo dapat disimpan, dialihkan, atau diperdagangkan ulang sesuai kondisi geopolitik dan biaya pengiriman. Penyimpanan terapung dan fasilitas transfer menjadi bagian permanen dari arsitektur energi masa depan. Malaysia juga memiliki keuntungan geopolitik karena posisi netralnya yang relatif stabil, yang meningkatkan daya tarik investasi infrastruktur energi strategis. Jika dikembangkan dengan tepat, proyek seperti Maharani Freeport dapat menjadi bagian penting dari jaringan energi Asia yang lebih terdistribusi, di tengah kompetisi dengan pusat-pusat lain seperti Singapura, India, dan negara-negara Teluk. (DK)||25 May 2026 10:20|https://www.idnfinancials.com/id/news/64101/maharani-freeport-malaysia-bisa-jadi-alternatif-jalur-energi-asia
8|OSLO - Norwegia, yang dikenal sebagai salah satu produsen utama minyak dan gas dunia, meningkatkan produksi bahan bakar fosil dalam beberapa minggu terakhir. Seperti dikutip OILPRICE , hal itu dilakukan untuk menutupi kekurangan pasokan akibat penutupan Selat Hormuz serta gangguan perdagangan energi yang masih berlangsung. Sejumlah negara menyambut langkah ini karena membantu meredakan kelangkaan minyak dan gas, namun kelompok lingkungan mengkritiknya dan menilai bahwa fokus seharusnya lebih diarahkan pada peningkatan energi terbarukan di kawasan tersebut. Norwegia kini dianggap mengambil peran sebagai “penyelamat Eropa” setelah menggantikan sebagian pasokan minyak dan gas dari Timur Tengah yang terganggu akibat penutupan jalur perdagangan penting antara Asia dan Eropa. Perdana Menteri Norwegia dari pemerintahan Partai Buruh, Jonas Gahr Støre, mengatakan bahwa situasi perang yang tidak menentu membuat Norwegia harus menjadi pemasok energi yang dapat diandalkan. Sebelumnya, Norwegia juga meningkatkan produksi minyak dan gas setelah invasi Rusia ke Ukraina pada 2022, ketika banyak negara Eropa menghentikan pembelian energi dari Rusia dan beralih ke Norwegia. Saat ini, Norwegia menjadi pemasok gas pipa terbesar di Eropa, dengan sekitar 90–95 persen ekspor minyaknya menuju Eropa. Namun, kapasitas produksi Norwegia hampir mencapai batas maksimal sehingga sulit untuk terus meningkatkan output dari proyek yang ada. Produksi minyak diperkirakan akan menurun setelah 2030 jika tidak ada proyek baru yang dikembangkan, sehingga eksplorasi baru menjadi opsi yang didorong pemerintah tetapi ditentang kelompok lingkungan. Menteri Energi Norwegia Terje Aasland menegaskan bahwa pemerintah berfokus pada peran Norwegia sebagai pemasok energi yang stabil dan dapat diprediksi bagi Eropa. Ia juga menyatakan bahwa Norwegia akan terus mengembangkan aktivitas di landas kontinennya, termasuk rencana pembukaan kembali tiga ladang gas di Laut Utara, Albuskjell, Vest Ekofisk, dan Tommeliten Gamma, yang ditutup hampir 30 tahun lalu dan ditargetkan kembali beroperasi pada 2028. Pemerintah menilai langkah tersebut penting untuk menjaga stabilitas pasokan energi Eropa di tengah sanksi terhadap Rusia dan gangguan perdagangan dari Timur Tengah. Produksi diharapkan tetap sejalan dengan tingkat output tahun 2025. Sementara itu, perusahaan energi negara Equinor berencana menginvestasikan sekitar US$6 miliar per tahun hingga 2035 untuk menjaga agar produksi tidak menurun, termasuk melalui pengeboran baru, pengembangan lapangan kecil, dan pembangunan infrastruktur pipa. Pada awal tahun ini, Norwegia memproduksi sekitar 2,31 juta barel setara minyak per hari, naik hampir 9 persen dibandingkan periode yang sama tahun lalu. Pemerintah juga menaikkan proyeksi pendapatan minyak dan gas tahun ini menjadi US$79 miliar karena harga energi global yang lebih tinggi. Namun, Partai Sosialis Kiri Norwegia menilai kebijakan ini mengabaikan masukan lingkungan dan menyebut ekspansi minyak dan gas sebagai bentuk “greenwashing” yang berisiko terhadap kawasan alam penting. Di tengah perdebatan tersebut, Norwegia tetap dipandang sebagai pemasok energi utama yang membantu stabilitas Eropa, meskipun kekhawatiran meningkat bahwa ketergantungan pada bahan bakar fosil dapat memperlambat transisi menuju energi bersih. (DK)||25 May 2026 10:00|https://www.idnfinancials.com/id/news/64099/pasokan-energi-berkurang-negara-eropa-beralih-ke-norwegia
9|NEW DELHI - India memandang Amerika Serikat sebagai mitra energi yang “signifikan dan dapat diandalkan”, kata Menteri Luar Negeri India S. Jaishankar setelah bertemu dengan Menteri Luar Negeri AS Marco Rubio, yang menyebut hubungan kedua negara sebagai salah satu yang paling penting di dunia. Dalam konferensi pers bersama di New Delhi, Rubio mengatakan bahwa India dan AS memiliki keselarasan strategis dalam sektor energi. Seperti dikutip Bloomberg , Ia menegaskan bahwa kedua negara ingin memastikan dunia tidak hanya mampu memproduksi energi, tetapi juga menyalurkannya untuk mendukung ekonomi modern. Rubio sedang melakukan kunjungan empat hari ke India, dengan agenda pembahasan mulai dari energi hingga keamanan regional. Pejabat AS sebelumnya menyatakan Washington siap memasok energi sebanyak yang dibutuhkan India, dan menawarkan bantuan untuk mendiversifikasi sumber energi negara tersebut. India, sebagai salah satu importir energi terbesar dunia, terdampak konflik di Timur Tengah yang mengganggu pasokan energi global. Gangguan di Selat Hormuz sempat memengaruhi jalur penting impor energi, termasuk LPG yang banyak digunakan sebagai bahan bakar rumah tangga. Jaishankar menyebut terjadi peningkatan signifikan dalam pasokan energi dari AS ke India, serta menekankan bahwa India kini memasuki era pengurangan risiko (de-risking) dengan fokus pada keamanan dan keterjangkauan energi. India diperkirakan akan mencatat impor LPG dan gas alam cair (LNG) dari AS dalam jumlah rekor pada bulan Mei, menunjukkan meningkatnya ketergantungan energi India terhadap Amerika Serikat. Dalam pertemuan tersebut, isu sanksi AS terhadap minyak Rusia juga dibahas. India menegaskan bahwa pasar energi global tidak boleh terganggu atau dibatasi karena hal tersebut dapat memengaruhi stabilitas ekonomi dunia. Selain isu energi, kedua negara juga menegaskan kembali hubungan strategis mereka. Rubio menyebut kemitraan AS–India tetap kuat dan terus berkembang, serta tidak sedang mengalami kemunduran. Hubungan bilateral sempat mengalami ketegangan sebelumnya terkait perbedaan pandangan atas sejumlah isu regional, namun kini kedua pihak berupaya memperkuat kerja sama, termasuk dalam penyelesaian kesepakatan perdagangan dan penurunan tarif. (DK)||25 May 2026 09:40|https://www.idnfinancials.com/id/news/64098/hasil-kunjungan-rubio-india-impor-lng-besar
10|JAKARTA - PT Pradiksi Gunatama Tbk (PGUN) , produsen minyak kelapa sawit milik Liana Saputri atau putri dari Haji Isam, akan membagikan dividen tunai Rp39,99 miliar. Rencana itu telah mendapat persetujuan dari rapat pemegang saham PGUN, yang digelar pada Kamis pekan lalu. Jumlah dividen tunai yang akan dibagikan sebesar Rp39,99 miliar atau Rp6,97 per lembar saham, sekitar 25% dari laba bersih tahun buku 2025. Sementara sisa dari laba bersih PGUN yaitu Rp119,3 miliar, akan dicatat sebagai laba ditahan. Manajemen PGUN dalam keterangan yang disampaikan ke Bursa Efek Indonesia (BEI) pada Senin (25/5), telah menetapkan jadwal pembagian dividen tunai. Berikut jadwal pembagian dividen PGUN: Menurut data IDNFinancials.com, harga saham PGUN bertahan di Rp7.400 pada perdagangan Jumat (29/5), setara Price to Earnings (P/E) yang disetahunkan 326 kali. Sedangkan dengan acuan dividen per saham yang dibagikan, yield dividen PGUN tak sampai 1%. Mayoritas saham PGUN saat ini berada di bawah PT Araya Agro Lestari, yang memiliki 38,44% saham. PT Citra Agro Raya menguasai 38,25% dan PT Baramega Cipta Mulia Persada 15,69%. Investor publik memiliki 7,62%. Sementara pemilik manfaat akhir dari kepemilikan saham PGUN adalah Liana Saputri. (KR)||25 May 2026 09:30|https://www.idnfinancials.com/id/news/64107/emiten-sawit-milik-putri-haji-isam-bagi-dividen-rp39-9-miliar
