ID|Teks_Gabungan|Label_Sentimen|Tanggal|Link
1|Kabar baik bagi pemegang saham PT Bank Mandiri Tbk (BMRI). Dividen BMRI untuk tahun buku 2025 mulai dibayarkan kepada investor pada Senin (25/5/2026). Bank Mandiri mengalokasikan dividen final sebesar Rp 35,14 triliun atau setara Rp 376,95 per saham yang akan masuk ke rekening investor yang berhak menerima pembagian laba tersebut. Investor yang tercatat dalam daftar pemegang saham ( recording date ) per 12 Mei 2026 pukul 16.00 WIB menjadi pihak yang berhak memperoleh dividen final BMRI. Baca juga: IHSG Sesi Satu Menguat, Ditopang Saham BBCA, BMRI, dan BBRI Pembayaran dividen hari ini merupakan bagian dari total pembagian dividen Bank Mandiri tahun buku 2025 yang mencapai Rp 44,47 triliun atau setara 79 persen dari laba bersih perseroan sebesar Rp 56,3 triliun. Angka tersebut telah mencakup dividen interim Rp 9,32 triliun atau Rp 100 per saham yang sebelumnya dibayarkan pada 14 Januari 2026. Dengan demikian, total dividen per saham ( dividend per share /DPS) BMRI tahun buku 2025 mencapai Rp 476,95 per saham, naik dibanding periode sebelumnya yang sebesar Rp 466,18 per saham. Bagi investor ritel, nilai dividen final yang dibagikan setara sekitar Rp 37.695 per lot saham. Baca juga: Pasar Domestik Menyusut, SBI Tetap Tebar Dividen Rp 329,3 Miliar Berikut jadwal pembagian dividen saham BMRI : Pada perdagangan cum date 8 Mei 2026, saham BMRI ditutup di level Rp 4.630 per saham. Dengan dividen final Rp 376,95 per saham, dividend yield mencapai sekitar 8,14 persen. Sementara itu, saat tanggal pencatatan pemegang saham penerima dividen pada 12 Mei 2026, harga saham BMRI berada di level Rp 4.240 per saham. Dengan harga tersebut, yield dividen BMRI mencapai sekitar 8,89 persen. Kinerja fundamental Bank Mandiri tetap menunjukkan pertumbuhan. Laba bersih konsolidasi kuartal I 2026 mencapai Rp 15,4 triliun atau tumbuh 16,6 persen secara tahunan ( year on year /YoY). Return on equit y (ROE) tercatat sebesar 22,1 persen, sedangkan capital adequacy ratio (CAR) berada di level 19,7 persen. Penyaluran kredit Bank Mandiri tumbuh 17,4 persen YoY menjadi Rp 1.530 triliun. Di sisi kualitas aset, rasio non-performing loan (NPL) gross terjaga di level 0,98 persen. Sementara Dana Pihak Ketiga (DPK) tumbuh 21,1 persen secara tahunan menjadi Rp 1.675 triliun hingga Maret 2026. Selain pembagian dividen, Rapat Umum Pemegang Saham Tahunan (RUPST) juga menyetujui aksi buyback saham senilai maksimal Rp 1,17 triliun yang akan berlangsung hingga 29 April 2027. Saham hasil buyback akan disimpan sebagai treasury stock dan dialokasikan untuk program kepemilikan saham bagi karyawan, direksi, serta komisaris non-independen sesuai ketentuan Otoritas Jasa Keuangan (OJK).||Kompas.com, 25 Mei 2026, 14:01 WIB|https://money.kompas.com/read/2026/05/25/140149726/cek-rekening-dividen-bmri-cair-hari-ini-25-5
2|Perusahaan investasi milik pengusaha Happy Hapsoro, PT Sentosa Bersama Mitra (SBM), tercatat memborong saham emiten energi terintegrasi PT Rukun Raharja Tbk (RAJA). Aksi serok dilakukan ketika harga saham emiten energi itu sempat anjlok lebih dari 16 persen sejak awal pekan. Berdasarkan keterbukaan informasi Bursa Efek Indonesia (BEI), Jumat (22/5/2026), Sentosa Bersama Mitra melakukan pembelian saham RAJA sebanyak 11,85 juta saham pada 20 Mei 2026 dengan harga Rp 2.900 per saham. Kemudian, pembelian kembali dilakukan pada 21 Mei 2026 sebanyak 190.000 saham dengan harga Rp 3.010 per saham. Dengan transaksi tersebut, total kepemilikan saham Sentosa Bersama Mitra di Rukun Raharja meningkat dari sebelumnya 1,498 miliar saham menjadi 1,510 miliar saham. Baca juga: Happy Hapsoro Hengkang dari Minna Padi Investama, Saham PADI Menguat Seiring dengan penambahan kepemilikan tersebut, porsi hak suara juga naik dari sebelumnya 35,45 persen menjadi 35,73 persen. Adapun, tujuan transaksi tersebut adalah untuk menambah kepemilikan saham secara langsung. Aksi borong saham oleh jajaran direksi ini terjadi di tengah kondisi pasar modal Indonesia yang tengah mengalami tekanan tajam. Sepanjang pekan ini, Indeks Harga Saham Gabungan ( IHSG ) merosot 8,35 persen atau turun 561,28 poin dalam sepekan dan bertahan di level 6.162,05 hingga penutupan perdagangan Jumat (22/5/2026). Pelemahan turut memangkas kapitalisasi pasar saham sekitar 10 persen atau setara Rp 1.190 triliun menjadi Rp 10.635 triliun. Baca juga: Gozco Plantations (GZCO) Buka Suara Terkait Isu Akuisisi oleh Happy Hapsoro Dari sisi komposisi kepemilikan saham RAJA, Sentosa Bersama Mitra menjadi pemegang saham terbesar dengan kepemilikan mencapai 35,73 persen. Selain itu, nama Happy Hapsoro juga tercatat memiliki 1,16 miliar saham atau setara 27,52 persen kepemilikan. Adapun Tirta Orisa Yasa menggenggam 523,17 juta saham atau sekitar 12,38 persen. Sementara itu, pemegang saham lainnya yakni Zeze Ajuwel Tambang memiliki 59,04 juta saham atau setara 1,40 persen. Pada jajaran direksi dan komisaris, Direktur Utama Djauhar Maulidi memiliki 5,30 juta saham atau sekitar 0,13 persen. Sedangkan Direktur Ogi Rulino menguasai 2,25 juta saham atau setara 0,05 persen. Dalam bagian ultimate beneficial owner, nama Hapsoro juga tercantum sebagai penerima manfaat akhir dari kepemilikan saham RAJA. Baca juga: Rukun Raharja (RAJA) Bakal Buyback Saham, Siapkan Rp 250 Miliar Disclaimer: Artikel ini tidak bertujuan mengajak membeli atau menjual saham. Keputusan investasi menjadi tanggung jawab investor. Pastikan melakukan riset mandiri sebelum menentukan pilihan.||Kompas.com, 24 Mei 2026, 08:00 WIB|https://money.kompas.com/read/2026/05/24/080044026/saat-ihsg-rontok-perusahaan-happy-hapsoro-justru-serok-12-juta-saham-rukun
3|"KOMPAS.com – Laporan keuangan terbaru Presiden AS, Donald Trump memicu perhatian luas. Dokumen tersebut mengungkap aktivitas investasi dalam skala besar, yakni 3.711 transaksi saham yang mayoritas melibatkan perusahaan-perusahaan AS. Mengutip Bloomberg , Minggu (23/5/2026), besarnya aktivitas perdagangan tersebut menjadi sorotan karena dilakukan oleh seorang presiden yang kebijakannya dapat memengaruhi pasar keuangan. Kebijakan pemerintah maupun pernyataan presiden dapat mengubah prospek perusahaan, sektor industri, hingga arah pergerakan bursa. Baca juga: Trump Didesak Tunda Opsi Militer, Negara Arab Pilih Jalur Diplomasi Iran Skala transaksi yang tidak biasa memunculkan berbagai spekulasi. Sebagian pihak mempertanyakan potensi konflik kepentingan, sementara lainnya menyoroti kemungkinan adanya perdagangan berbasis informasi internal. Namun, analisis Bloomberg bersama sejumlah pakar investasi menunjukkan pola transaksi yang lebih kompleks. Aktivitas perdagangan itu dinilai tidak mudah disimpulkan hanya dari jumlah transaksi yang besar. Pola perdagangan Trump dinilai memiliki karakteristik pengelolaan investasi modern. Banyak transaksi menunjukkan ciri strategi berbasis indeks dan sistem otomatis. Trump Organization menyatakan seluruh aset investasi presiden dikelola lembaga keuangan pihak ketiga secara independen. Pengelola investasi memiliki kewenangan penuh dalam alokasi aset, pembelian, penjualan, penyeimbangan portofolio, hingga manajemen investasi. Baca juga: Situasi Genting, Trump Siapkan Rencana Serang Iran Lagi Perusahaan juga menyebut transaksi dijalankan melalui portofolio berbasis model otomatis dan strategi direct indexing . Trump, keluarga, maupun perusahaan disebut tidak terlibat dalam pengambilan keputusan investasi. Wakil Presiden JD Vance ikut membela Trump. Ia menyebut anggapan bahwa presiden melakukan transaksi saham langsung dari Gedung Putih sebagai sesuatu yang ""tidak masuk akal"". Meski demikian, kritik tetap bermunculan. Sejumlah pihak menilai kepemilikan saham individu oleh presiden berpotensi memunculkan konflik kepentingan. Penasihat hukum Campaign Legal Center, Kedric Payne mengatakan publik bisa berasumsi seorang presiden melakukan investasi berdasarkan informasi yang dapat memengaruhi keuntungan pribadi. Menurut dia, tidak boleh ada kesan bahwa presiden menggunakan jabatan untuk kepentingan finansial. ""Orang akan berasumsi seorang presiden bisa berinvestasi pada sesuatu yang ia ketahui akan menguntungkan dan dapat ia pengaruhi,"" ujar Payne. Baca juga: Kevin Warsh Dilantik Jadi Bos The Fed, Trump Klaim Tak Akan Intervensi Kritik juga datang dari Senator Partai Demokrat, Elizabeth Warren. Ia menyoroti transaksi saham perusahaan yang dinilai memiliki keterkaitan dengan kebijakan pemerintah. Warren mengutip pembelian saham Nvidia senilai sekitar 1 juta dollar AS. Transaksi tersebut terjadi sebelum pemerintah AS menyetujui penjualan chip canggih ke China."||Kompas.com, 24 Mei 2026, 07:28 WIB|https://money.kompas.com/read/2026/05/24/072800226/ribuan-transaksi-saham-donald-trump-jadi-sorotan-ada-apa-di-baliknya-
4|Indeks Harga Saham Gabungan (IHSG) diperkirakan masih bergerak fluktuatif pada perdagangan Senin (25/5/2026). Indeks berpeluang menguat terbatas, tetapi masih rawan terkoreksi. Analis teknikal MNC Sekuritas, Herditya Wicaksana, mengatakan IHSG pada awal pekan masih dibayangi tekanan arus keluar dana asing. Tekanan tersebut muncul seiring pengumuman hasil evaluasi indeks global dari Morgan Stanley Capital International (MSCI) dan FTSE Russell. Baca juga: IHSG Sepekan Ambles 8,35 Persen, Saham Prajogo Pangestu hingga Sinar Mas Jadi Beban Kondisi itu biasanya memicu penyesuaian portofolio oleh investor institusi global, terutama pada saham yang mengalami perubahan bobot maupun komposisi indeks. Tekanan jual dari investor asing berpotensi membuat pergerakan IHSG fluktuatif dan rawan terkoreksi dalam jangka pendek. Pelaku pasar juga mencermati rencana pemerintah menjalankan ekspor komoditas melalui satu badan khusus, yakni PT Danantara Sumberdaya Indonesia (DSI). Kebijakan tersebut dinilai dapat memunculkan kekhawatiran pasar terkait mekanisme tata niaga, harga jual, hingga dampaknya terhadap kinerja emiten berbasis batu bara, mineral, dan komoditas lainnya. “Kami perkirakan IHSG masih akan dipengaruhi oleh outflow karena pengumuman MSCI dan FTSE, di sisi lain pemerintah tetap berencana melaksanakan ekspor komoditas melalui satu badan,” ujar Herditya saat dihubungi Kompas.com, Minggu malam (24/5/2026). Baca juga: Saat IHSG Rontok, Perusahaan Happy Hapsoro Justru Serok 12 Juta Saham Rukun Raharja (RAJA) Secara teknikal, IHSG diproyeksikan bergerak dengan level support di area 6.054 dan resistance di posisi 6.279. “Kami perkirakan IHSG berpeluang menguat terbatas dan rawan koreksi dengan support 6.054 dan resist 6.279,” paparnya.||Kompas.com, 25 Mei 2026, 08:09 WIB|https://money.kompas.com/read/2026/05/25/080900826/sentimen-ftse-ihsg-diprediksi-menguat-terbatas-senin-25-5-ritel-bisa-cermati
5|PT Trimegah Bangun Persada Tbk (NCKL), emiten nikel terintegrasi Harita Nickel, menyiapkan pembelian kembali atau buyback saham senilai maksimal Rp 1 triliun di tengah penilaian bahwa harga saham perseroan belum mencerminkan nilai perusahaan yang sebenarnya. Manajemen NCKL menyebut, aksi korporasi tersebut akan dimintakan persetujuan dalam Rapat Umum Pemegang Saham Tahunan (RUPST) pada 30 Juni 2026. Buyback akan berlangsung paling lama 12 bulan setelah memperoleh persetujuan pemegang saham. “Perusahaan menilai bahwa harga saham perseroan saat ini belum mencerminkan nilai perusahaan yang sesungguhnya, meski perusahaan telah menunjukkan kinerja yang cukup baik,” tulis manajemen NCKL dalam keterbukaan informasi, dikutip Minggu (24/5/2026). NCKL juga memastikan periode buyback baru tidak akan beririsan dengan program buyback sebelumnya yang telah disetujui dalam RUPST 2025 dengan nilai serupa sebesar Rp 1 triliun. “Periode buyback saham yang akan dilaksanakan terhitung sejak tanggal persetujuan RUPST pada 30 Juni 2026 tidak akan beririsan dengan periode buyback saham 2025, mengingat periode buyback saham tersebut telah berakhir pada 18 Juni 2026,” ujar manajemen. Baca juga: BREN, CTRA, DSSA, NCKL Terdepak dari LQ45, Investor Ritel Disarankan Wait and See Perseroan menjelaskan, buyback akan dilakukan melalui bursa dan/atau di luar bursa. Untuk pelaksanaannya di pasar reguler, NCKL menunjuk PT Harita Kencana Sekuritas sebagai anggota Bursa Efek Indonesia (BEI). Dana yang digunakan seluruhnya berasal dari kas internal perusahaan dan bukan berasal dari hasil penawaran umum maupun pinjaman. Manajemen menilai langkah tersebut tidak akan mengganggu operasional maupun kegiatan usaha perusahaan karena modal kerja dinilai masih memadai. “Perusahaan menilai bahwa tidak akan ada perubahan signifikan atas laba bersih dan laba per saham perusahaan atas pelaksanaan buyback saham tersebut,” tulis manajemen. Baca juga: LQ45 Diacak Ulang, BREN hingga NCKL Keluar, CUAN dan WIFI Masuk Sebelumnya, NCKL atau emiten produsen nikel terintegrasi Harita Nickel mencatatkan pertumbuhan laba bersih pada kuartal I 2025 sebesar 65,47 persen menjadi Rp 1,65 triliun. Pendapatan perseroan juga naik 18,12 persen menjadi Rp 7,12 triliun. Bisnis pengolahan nikel menjadi kontributor utama pendapatan dengan nilai Rp 5,96 triliun atau setara 83,71 persen dari total pendapatan perusahaan.||Kompas.com, 24 Mei 2026, 20:29 WIB|https://money.kompas.com/read/2026/05/24/202900326/buyback-rp-1-triliun-nckl-jadi-penopang-saham-saat-harga-dinilai-murah
6|PT Bursa Efek Indonesia (BEI) memantau ketat progres pemenuhan ketentuan jumlah saham yang beredar di publik (free float) milik emiten, setelah empat saham asal Indonesia dicoret dari indeks FTSE Global Equity Index Series (GEIS). Otoritas bursa memastikan terus berkomunikasi dengan perusahaan tercatat dan asosiasi emiten untuk memastikan kepatuhan terhadap aturan saham beredar di publik sesuai dengan standar yang ditetapkan, yakni 15 persen dan dipenuhi secara bertahap. Pejabat sementara (Pjs) Direktur Utama BEI , Jeffrey Hendrik, mengatakan implementasi aturan pemenuhan free float masih berjalan sehingga bursa terus melakukan komunikasi intensif dengan para pelaku pasar. “Kalau untuk pemenuhan ketentuan free float ini kan baru berjalan, tentu kita tetap berkomunikasi dengan asosiasi emiten, kita ingin melihat bagaimana progresnya, bagaimana komitmennya, dan apa yang bisa didukung oleh bursa,” ujar Jeffry di gedung BEI, Jakarta, Senin (35/5/2026). Baca juga: BEI Ungkap Ada 15 Perusahaan Antre IPO, Salah Satunya Bisnis Kebun Binatang Menurutnya, BEI ingin memastikan seluruh perusahaan tercatat memiliki komitmen untuk memenuhi aturan free float. Bursa juga membuka ruang dukungan agar proses penyesuaian dapat berjalan optimal. “Saya kira kita pantau terus progresnya, kita lihat bagaimana, kita harapkan tentunya pada waktunya itu bisa dipenuhi oleh seluruh perusahaan tercatat,” paparnya. Free float menjadi salah satu indikator penting dalam penilaian indeks global karena mencerminkan tingkat likuiditas dan keterbukaan saham di pasar. Semakin kecil porsi saham yang beredar di publik, maka semakin rendah pula likuiditas transaksi saham tersebut. Kebijakan peningkatan free float tertuang dalam Peraturan BEI Nomor I-A akan diimplementasikan secara hati-hati dengan mempertimbangkan kondisi riil pasar. Otoritas Jasa Keuangan (OJK) dan Self-Regulatory Organization (SRO) menyiapkan mekanisme evaluasi bertahap untuk mengantisipasi risiko delisting emiten konglomerasi yang tidak memenuhi batas minimum free float 15 persen. Evaluasi juga akan melibatkan berbagai pihak, mulai dari asosiasi emiten Indonesia sebagai representasi sisi supply, hingga asosiasi perusahaan efek dan manajer investasi sebagai representasi sisi demand. Baca juga: FTSE Depak Sejumlah Saham RI, Ini Respon Bos BEI Pemenuhan ketentuan free float minimum 15 persen dilaksanakan secara bertahap dengan penetapan target antara setiap tahapan, disertai pemantauan dan pendampingan untuk memastikan pencapaian target akhir sesuai dengan jangka waktu yang ditetapkan. Sebagai gambaran, perusahaan dengan kapitalisasi pasar di atas Rp 5 triliun dan free float existing di bawah 12,5 persen akan diberikan waktu satu tahun untuk mencapai target 12,5 persen. Selanjutnya, perusahaan tersebut harus mencapai 15 persen pada akhir tahun kedua. Sementara itu, untuk perusahaan dengan kapitalisasi pasar di atas Rp 5 triliun yang saat ini free float-nya sudah berada di antara 12,5 persen hingga 15 persen, diberikan waktu satu tahun untuk mencapai target 15 persen pada 31 Maret 2027. Kelompok ketiga yaitu perusahaan dengan kapitalisasi pasar di bawah Rp 5 triliun, seluruhnya wajib memenuhi ketentuan free float 15 persen dalam jangka waktu tiga tahun.||Kompas.com, 25 Mei 2026, 13:42 WIB|https://money.kompas.com/read/2026/05/25/134238726/usai-ftse-coret-4-saham-ri-bos-bei-awasi-ketat-kepatuhan-free-float-emiten
7|Indeks Harga Saham Gabungan (IHSG) ditutup menguat pada sesi satu perdagangan, Senin (25/5/2026), setelah sempat bergerak fluktuatif pada awal perdagangan. IHSG mengakhiri paruh pertama perdagangan dengan kenaikan 0,93 persen ke level 6.219. Penguatan indeks ditopang oleh reli saham-saham perbankan berkapitalisasi besar atau big banks yang menjadi motor utama pergerakan pasar. Saham PT Bank Rakyat Indonesia (Persero) Tbk (BBRI) memimpin penguatan dengan kenaikan 4,6 persen, disusul PT Bank Central Asia Tbk (BBCA) menguat 3,8 persen dan PT Bank Mandiri (Persero) Tbk (BMRI) naik 3,4 persen. Baca juga: IHSG Sepekan Ini Diperkirakan Masih Volatil, Ritel Bisa Cermati Saham MDKA, BTPN, dan ULTJ Selain sektor perbankan, mayoritas indeks sektoral juga bergerak di zona hijau. Hingga siang hari, IDX transportation dan IDX cyclicals memimpin penguatan di antara sembilan dari 11 sektor yang mengalami kenaikan. Secara agregat, IHSG sempat bergerak fluktuatif pada awal perdagangan dan bahkan turun ke zona merah. Namun, indeks berhasil berbalik menguat dan terus melanjutkan reli hingga menyentuh level tertinggi di 6.239,594. Sementara itu, area terendah di sesi satu berada di posisi 6.124,578. Adapun IHSG dibuka di di 6.187,655. Baca juga: Sentimen FTSE, IHSG Diprediksi Menguat Terbatas Senin (25/5), Ritel Bisa Cermati Saham HRUM, MBMA, hingga CPIN Penguatan indeks ditopang mayoritas saham yang bergerak di zona hijau. Hingga siang ini, sebanyak 511 saham menguat, 204 saham melemah, dan 99 saham bergerak stagnan. Aktivitas perdagangan juga terpantau cukup ramai dengan volume transaksi mencapai 16,998 miliar saham dan frekuensi perdagangan 1.267.010 kali transaksi. Nilai transaksi atau turnover menyentuh Rp 9,268 triliun.||Kompas.com, 25 Mei 2026, 12:52 WIB|https://money.kompas.com/read/2026/05/25/125228726/ihsg-sesi-satu-menguat-ditopang-saham-bbca-bmri-dan-bbri
8|Saham PT Dian Swastatika Sentosa Tbk (DSSA), emiten energi dan infrastruktur milik Grup Sinar Mas, dipastikan keluar dari kelompok indeks FTSE Large Cap mulai 22 Juni 2026 setelah FTSE Russell merilis hasil tinjauan kuartalan Mei 2026. Keputusan tersebut dinilai dapat menambah tekanan terhadap pergerakan saham DSSA dalam jangka pendek. FTSE Russell menyebut mayoritas saham DSSA dikuasai segelintir pemegang saham atau masuk kategori high shareholding concentration (HSC). Kondisi ini membuat saham dinilai kurang likuid dan rentan mengalami volatilitas tinggi. Senior Market Analyst Mirae Asset Sekuritas, Nafan Aji Gusta, mengatakan keluarnya saham dari indeks biasanya memicu penyesuaian portofolio investor institusi pasif yang mengikuti acuan indeks global. “Efek outflow dana index sih. Kalau outflow sih pasti ada emiten yang keluar seperti BREN, CTRA, DSSA, HEAL, NCKL. Tentunya ini mengalami tekanan jual wajar,” ujar Nafan kepada Kompas.com. Tekanan terhadap DSSA juga muncul setelah sebelumnya saham tersebut terdepak dari indeks LQ45 Bursa Efek Indonesia (BEI) untuk periode 4 Mei hingga 31 Juli 2026. Baca juga: FTSE Russell Coret DSSA hingga HILL, Standar Saham RI Kian Ketat Selain keluar dari FTSE dan LQ45, DSSA juga masuk daftar saham yang berpotensi dikeluarkan dari indeks Morgan Stanley Capital International (MSCI) akibat status HSC. MSCI dalam evaluasi terbarunya masih mempertahankan pembatasan terhadap saham dengan konsentrasi kepemilikan tinggi karena dinilai berisiko terhadap likuiditas dan aksesibilitas investasi. Pengamat pasar modal Reydi Octa menilai tekanan terhadap saham DSSA masih akan dominan selama isu indeks global belum selesai. Menurut dia, hilangnya permintaan dari dana pasif membuat arah harga saham cenderung volatil dan melemah. “Tekanannya masih dominan. Selama risiko keluar dari MSCI dan indeks BEI belum selesai, arah harga cenderung volatile cenderung turun karena hilangnya demand dari dana pasif,” ujar Reydi. Baca juga: DSSA Diprediksi Didepak dari FTSE Russell, Potensi Tekanan Jual Asing Melonjak Ia menjelaskan status HSC membuat saham menjadi kurang investable karena likuiditas tipis dan harga lebih mudah digerakkan. “Status HSC membuat saham jadi kurang investable, likuiditas tipis, dan mudah digerakkan. Investor institusi cenderung menghindari, sehingga volatilitas makin tinggi,” paparnya. Berdasarkan data BEI per 31 Maret 2026, tingkat konsentrasi kepemilikan DSSA mencapai 95,76 persen. Investment Specialist PT Korea Investment and Sekuritas Indonesia (KISI), Azharys Hardian, mengatakan saham dengan kapitalisasi besar seperti DSSA memiliki pengaruh signifikan terhadap sektor energi dan pergerakan Indeks Harga Saham Gabungan (IHSG). “Sektor yang paling terdampak adalah energi dan infrastruktur. Hal ini tidak lepas dari peran DSSA dan BREN yang memiliki kapitalisasi pasar sangat besar, sehingga fluktuasi pada kedua saham tersebut secara langsung menjadi pemberat bagi performa sektor masing-masing sekaligus menekan laju IHSG secara keseluruhan,” ujar Azharys. Baca juga: BREN, CTRA, DSSA, NCKL Terdepak dari LQ45, Investor Ritel Disarankan Wait and See||Kompas.com, 24 Mei 2026, 13:00 WIB|https://money.kompas.com/read/2026/05/24/130000426/dssa-efektif-didepak-dari-ftse-russel-per-22-juni-investor-ritel-diminta-wait
9|"Kepala BP BUMN Dony Oskaria mengungkapkan PT Danantara Sumberdaya Indonesia (DSI) telah resmi terbentuk menjadi BUMN khusus ekspor. Dony menyebut penandatanganan PT DSI sebagai BUMN telah dilakukan tadi pagi. ""Hari ini kan sudah menjadi BUMN kan, karena kan prosesnya harus ada 1 persen saham milik negara kan dengan kuasa khusus. Hari ini sudah menjadi BUMN ya. Itu sudah selesai tadi pagi kita sudah tanda tangan,"" ujar Dony di Gedung DPR, Senayan, Jakarta, Senin (25/5/2026). Namun, terkait mekanisme ekspor yang akan dilakukan PT DSI, Dony menyebut segalanya masih berproses. Dia juga belum berbicara banyak perihal warga negara asing (WNA) yang ditunjuk sebagai Dirut PT DSI. Baca juga: Prabowo Bentuk BUMN Khusus Ekspor SDA, Ketua DPD: Bukan Ganggu Mekanisme Pasar ""Oh yang pasti sudah menjadi BUMN, kemudian ya nanti detailnya akan disampaikan ke kawan-kawan sekalian,"" imbuhnya. Sebelumnya, PT Danantara Sumberdaya Indonesia dibentuk oleh pemerintah untuk menekan praktik mispricing komoditas ekspor sumber daya alam (SDA) Indonesia. Mispricing sendiri ialah di mana harga pasar suatu aset atau komoditas menyimpang dari nilai intrinsik atau nilai fundamentalnya. Praktik mispricing bakal ditekan pemerintah seminimal mungkin untuk memastikan penerimaan negara sesuai dengan yang diekspor. Baca juga: Bos Danantara Sebut PT DSI Akan Resmi Jadi BUMN Pekan Depan ""Kita akan coba reduce semaksimal mungkin. Kalau memungkinkan, nol praktik mispricing , nol praktik harga yang tidak sesuai,"" jelas CEO Danantara Indonesia sekaligus Menteri Investasi dan Hilirisasi Rosan Roeslani, Rabu (20/5/2026)."||Kompas.com, 25 Mei 2026, 14:33 WIB|https://nasional.kompas.com/read/2026/05/25/14331471/pt-danantara-sumberdaya-indonesia-resmi-jadi-bumn-ekspor-negara-sudah-pegang
10|JAKARTA, KOMPAS.com — Superbrands, lembaga arbiter internasional untuk brand terkemuka bersama lembaga survei Nielsen kembali memberikan apresiasi kepada merek-merek terbaik Indonesia. Untuk kategori Trusted Online Media ( media online tepercaya), Kompas.com tampil sebagai pemenang di antara ribuan media online yang tumbuh dan berkembang di era digital di Indonesia. Pada 2018, Dewan Pers mencatat, setidaknya ada 43.000 media online di Indonesia. Dari puluhan ribu media online itu, tidak lebih dari 200 media online yang dikategorikan terverifikasi. Pengumuman pemenang dan pemberian penghargaan kepada Kompas.com sebagai media online tepercaya dilakukan pada Gala Awards Superbrands 2019 di Ballroom 1, Sheraton Gandaria, Jakarta, Jumat, 26 Juli 2019. Superbrands adalah lembaga yang sudah berdiri selama lebih dari 26 tahun di lebih dari 86 negara. Atas pengakuan dan penghargaan Superbrands 2019 untuk Kompas.com sebagai media online tepercaya ini, Pemimpin Redaksi Kompas.com Wisnu Nugroho mengucapkan terima kasih khususnya kepada para pembaca. “Pengakuan dan penghargaan ini adalah peneguh atas upaya jurnalistik Kompas.com selama 23 tahun lebih untuk menjadi media rujukan tepercaya bagi para pembaca,” ujar Wisnu di Jakarta, Kamis (1/8/2019). Untuk Kompas.com yang didirikan pada 14 September 1995, penghargaan sebagai media online tepercaya merupakan penghargaan berturut-turut kedua setelah pada 2018 mendapat penghargaan yang sama. Baca juga: Kompas.com Sabet Penghargaan Berita Online Terpercaya dari Superbrands “Terima kasih pertama-tama untuk para pembaca,” ujar Wisnu Nugroho. Dalam satu tahun terakhir, sebagai media online tepercaya, Kompas.com berperan dalam jaringan internasional penguji fakta (International Fact Checking Network/IFCN) untuk melawan hoaks dan mengungkapkan kebenaran dengan kerja-kerja jurnalistik. - - Puluhan media dan lembaga di seluruh dunia ada dalam upaya bersama memerangi hoaks dan terhubung dalam IFCN sejak 2017. Baca juga: Kompas.com Tersertifikasi dalam Jaringan Internasional Penguji Informasi Terkait pemberian penghargaan ini, CEO Superbrands Indonesia Grandtyana Mayasari mengatakan, penghargaan yang diraih para pemilik brand merupakan bukti pencapaian. “ Brand yang mendapat Superbrands Awards 2019 telah menjadi TOP of Mind yang mendapat tempat sangat spesial di mata para konsumen, melalui inovasi-inovasi yang dilakukan selama ini,” ujar Grandtyana. Acara Gala Awards Superbrands Indonesia 2019 dihadiri sekitar 40 brand terkemuka di Indonesia yang mendapatkan status dan penghargaan berdasarkan penilaian yang dilakukan oleh Nielsen dengan 38 kategori penghargaan.||Kompas.com, 1 Agustus 2019, 12:42 WIB|https://money.kompas.com/read/2019/08/01/124215826/kompascom-kembali-jadi-pemenang-kategori-media-online-tepercaya
